price,location,bed,bath,carport,surface_area,building_area
4250000000.0,"Mantrijeron, Yogyakarta",3.0,3.0,6.0,425,150
3100000000.0,"Mlati, Sleman",7.0,4.0,2.0,225,300
750000000.0,"Depok, Sleman",2.0,1.0,1.0,166,36
25000000000.0,"Pakualaman, Yogyakarta",9.0,9.0,3.0,429,1000
799000000.0,"Mlati, Sleman",3.0,2.0,1.0,111,60
799000000.0,"Umbulharjo, Yogyakarta",3.0,2.0,2.0,75,50
8900000000.0,"Ngaglik, Sleman",7.0,6.0,8.0,1050,735
3990000000.0,"Depok, Sleman",13.0,11.0,10.0,235,475
950000000.0,"Depok, Sleman",4.0,4.0,1.0,90,62
800000000.0,"Bantul, Yogyakarta",3.0,2.0,1.0,101,60
4000000000.0,"Mlati, Sleman",15.0,15.0,4.0,207,300
1700000000.0,"Gamping, Sleman",10.0,10.0,3.0,100,200
392000000.0,"Sayegan, Sleman",2.0,1.0,1.0,80,36
1450000000.0,"Danurejan, Yogyakarta",3.0,3.0,1.0,110,129
1300000000.0,"Gamping, Sleman",10.0,6.0,3.0,236,180
4200000000.0,"Mlati, Sleman",4.0,4.0,1.0,564,150
235000000.0,"Depok, Sleman",2.0,1.0,1.0,73,30
2400000000.0,"Ngaglik, Sleman",10.0,10.0,3.0,175,280
1880000000.0,"Mlati, Sleman",3.0,3.0,1.0,121,80
2660000000.0,"Mlati, Sleman",3.0,3.0,2.0,153,160
320000000.0,"Ngaglik, Sleman",2.0,1.0,1.0,94,36
1650000000.0,"Ngaglik, Sleman",4.0,3.0,2.0,125,140
1990000000.0,"Sleman, Yogyakarta",3.0,3.0,1.0,172,100
1800000000.0,"Ngaglik, Sleman",3.0,3.0,2.0,95,150
550000000.0,"Kalasan, Sleman",3.0,1.0,1.0,116,60
1700000000.0,"Ngaglik, Sleman",3.0,4.0,1.0,151,120
1100000000.0,"Ngaglik, Sleman",3.0,2.0,1.0,138,100
2200000000.0,"Ngaglik, Sleman",5.0,4.0,2.0,114,150
750000000.0,"Sleman, Sleman",3.0,2.0,2.0,130,60
237000000.0,"Kalasan, Sleman",2.0,1.0,1.0,60,28
750000000.0,"Sleman, Sleman",3.0,2.0,2.0,130,60
1650000000.0,"Ngaglik, Sleman",4.0,3.0,2.0,125,140
1520000000.0,"Ngaglik, Sleman",4.0,2.0,1.0,99,150
350000000.0,"Godean, Sleman",2.0,1.0,1.0,104,50
850000000.0,"Ngaglik, Sleman",3.0,2.0,1.0,114,110
2950000000.0,"Wirobrajan, Yogyakarta",4.0,3.0,0.0,213,185
895000000.0,"Kotagede, Yogyakarta",3.0,2.0,2.0,91,76
2500000000.0,"Kasihan, Bantul",3.0,3.0,0.0,352,168
1200000000.0,"Umbulharjo, Yogyakarta",3.0,2.0,1.0,115,100
1270000000.0,"Depok, Sleman",3.0,2.0,1.0,130,100
675000000.0,"Banguntapan, Bantul",2.0,1.0,1.0,85,45
817000000.0,"Gamping, Sleman",2.0,2.0,1.0,103,76
4500000000.0,"Depok, Sleman",20.0,15.0,3.0,235,370
817000000.0,"Gamping, Sleman",2.0,2.0,1.0,103,76
470000000.0,"Gondokusuman, Yogyakarta",3.0,3.0,0.0,147,70
765000000.0,"Umbulharjo, Yogyakarta",2.0,1.0,1.0,101,60
675000000.0,"Kalasan, Sleman",2.0,1.0,1.0,84,50
2200000000.0,"Ngaglik, Sleman",4.0,4.0,2.0,150,235
725000000.0,"Maguwoharjo, Yogyakarta",3.0,2.0,1.0,100,70
800000000.0,"Ngemplak, Sleman",3.0,2.0,1.0,120,80
884000000.0,"Maguwoharjo, Yogyakarta",4.0,2.0,2.0,104,60
3400000000.0,"Condong Catur, Sleman",4.0,3.0,0.0,421,200
1250000000.0,"Ngaglik, Sleman",2.0,2.0,2.0,125,150
500000000.0,"Ngemplak, Sleman",2.0,2.0,1.0,80,55
500000000.0,"Kalasan, Sleman",3.0,2.0,1.0,108,70
3900000000.0,"Ngaglik, Sleman",14.0,14.0,3.0,502,473
690000000.0,"Seturan, Yogyakarta",2.0,1.0,1.0,87,45
875000000.0,"Maguwoharjo, Yogyakarta",3.0,2.0,2.0,112,95
756000000.0,"Ngaglik, Sleman",3.0,1.0,2.0,104,60
4500000000.0,"Ngaglik, Sleman",5.0,2.0,7.0,503,300
1300000000.0,"Ngemplak, Sleman",5.0,6.0,1.0,320,142
850000000.0,"Kasihan, Bantul",3.0,2.0,2.0,80,85
6500000000.0,"Pakem, Sleman",9.0,6.0,0.0,2367,1000
1290000000.0,"Banguntapan, Bantul",4.0,3.0,1.0,99,105
2700000000.0,"Ngaglik, Sleman",3.0,2.0,2.0,267,180
6500000000.0,"Kalasan, Sleman",5.0,4.0,1.0,778,500
1780000000.0,"Depok, Sleman",4.0,3.0,2.0,118,160
1250000000.0,"Mlati, Sleman",3.0,3.0,1.0,105,160
575000000.0,"Kalasan, Sleman",2.0,1.0,1.0,108,80
8900000000.0,"Ngaglik, Sleman",17.0,17.0,7.0,550,435
775000000.0,"Gamping, Sleman",2.0,2.0,0.0,118,100
575000000.0,"Kalasan, Sleman",3.0,2.0,1.0,101,80
785000000.0,"Ngemplak, Sleman",3.0,2.0,1.0,115,60
2450000000.0,"Depok, Sleman",8.0,5.0,2.0,150,200
6000000000.0,"Caturtunggal, Sleman",34.0,8.0,0.0,1145,607
1850000000.0,"Tegalrejo, Yogyakarta",4.0,3.0,1.0,147,120
8500000000.0,"Depok, Sleman",17.0,15.0,0.0,389,554
900000000.0,"Banguntapan, Bantul",3.0,3.0,1.0,98,100
3500000000.0,"Mlati, Sleman",14.0,5.0,0.0,203,250
750000000.0,"Sleman, Sleman",3.0,2.0,2.0,130,60
2200000000.0,"Umbulharjo, Yogyakarta",5.0,6.0,3.0,495,300
2800000000.0,"Depok, Sleman",7.0,3.0,2.0,140,195
4500000000.0,"Purwomartani   , Sleman",3.0,2.0,0.0,668,250
2800000000.0,"Ngaglik, Sleman",4.0,4.0,2.0,154,230
1500000000.0,"Kalasan, Sleman",2.0,1.0,1.0,120,90
275000000.0,"Bantul, Bantul",2.0,1.0,1.0,70,36
1700000000.0,"Ngaglik, Sleman",6.0,5.0,0.0,162,170
25000000000.0,"Pakualaman, Yogyakarta",9.0,9.0,3.0,429,1000
6000000000.0,"Gamping, Sleman",6.0,6.0,1.0,688,384
5200000000.0,"Umbulharjo, Yogyakarta",12.0,12.0,3.0,525,500
305000000.0,"Wonosari, Gunung Kidul",2.0,1.0,0.0,66,45
310000000.0,"Wonosari, Gunung Kidul",2.0,1.0,0.0,72,45
310000000.0,"Wonosari, Gunung Kidul",2.0,1.0,0.0,72,45
315000000.0,"Wonosari, Gunung Kidul",2.0,1.0,0.0,45,75
312000000.0,"Wonosari, Gunung Kidul",2.0,1.0,0.0,45,72
3100000000.0,"Mlati, Sleman",7.0,4.0,2.0,225,300
375000000.0,"Sedayu, Bantul",2.0,1.0,1.0,82,46
2100000000.0,"Depok, Sleman",3.0,3.0,1.0,139,100
2000000000.0,"Umbulharjo, Yogyakarta",4.0,2.0,2.0,105,140
645000000.0,"Banguntapan, Bantul",3.0,1.0,2.0,93,60
4200000000.0,"Mlati, Sleman",4.0,4.0,8.0,564,190
1280000000.0,"Ngaglik, Sleman",3.0,3.0,2.0,134,85
270000000.0,"Prambanan, Sleman",2.0,1.0,1.0,61,30
3100000000.0,"Mlati, Sleman",7.0,4.0,2.0,225,300
1780000000.0,"Gamping, Sleman",3.0,3.0,2.0,119,114
598000000.0,"Berbah, Sleman",2.0,1.0,1.0,90,40
645000000.0,"Banguntapan, Bantul",3.0,1.0,1.0,93,60
4200000000.0,"Mlati, Sleman",4.0,4.0,8.0,564,190
25000000000.0,"Pakualaman, Yogyakarta",9.0,9.0,3.0,429,1000
1820000000.0,"Gamping, Sleman",3.0,2.0,1.0,140,158
2900000000.0,"Pakem, Sleman",2.0,3.0,2.0,380,200
499000000.0,"Ngaglik, Sleman",2.0,1.0,1.0,120,36
4250000000.0,"Mantrijeron, Yogyakarta",3.0,3.0,6.0,425,150
592000000.0,"Sayegan, Sleman",2.0,1.0,1.0,91,50
985000000.0,"Depok, Sleman",2.0,2.0,1.0,125,132
890000000.0,"Banguntapan, Bantul",3.0,2.0,1.0,85,70
5000000000.0,"Pakem, Sleman",8.0,7.0,6.0,1031,500
4750000000.0,"Ngaglik, Sleman",5.0,5.0,0.0,419,252
1250000000.0,"Depok, Sleman",2.0,1.0,1.0,130,70
790000000.0,"Banguntapan, Bantul",3.0,2.0,1.0,75,70
4200000000.0,"Depok, Sleman",5.0,4.0,2.0,230,208
250000000.0,"Jetis, Bantul",2.0,1.0,0.0,76,36
600000000.0,"Sleman, Sleman",3.0,1.0,1.0,167,130
6900000000.0,"Ngaglik, Sleman",5.0,3.0,3.0,843,450
3800000000.0,"Sleman, Sleman",3.0,3.0,1.0,199,206
407000000.0,"Jetis, Bantul",2.0,1.0,0.0,80,45
297000000.0,"Bantul, Bantul",2.0,1.0,1.0,75,45
400000000.0,"Pajangan, Bantul",2.0,1.0,1.0,90,50
1450000000.0,"Kraton, Yogyakarta",3.0,3.0,1.0,110,129
1940000000.0,"Danurejan, Yogyakarta",3.0,3.0,0.0,150,110
400000000.0,"Pajangan, Bantul",2.0,1.0,1.0,90,50
580000000.0,"Cebongan, Yogyakarta",3.0,2.0,1.0,101,70
850000000.0,"Banguntapan, Bantul",3.0,2.0,1.0,102,65
850000000.0,"Banguntapan, Bantul",3.0,2.0,1.0,102,65
850000000.0,"Kraton, Yogyakarta",4.0,3.0,0.0,126,126
350000000.0,"Sedayu, Bantul",2.0,1.0,0.0,105,70
2120000000.0,"Sewon, Bantul",4.0,4.0,2.0,120,150
2120000000.0,"Sewon, Bantul",4.0,4.0,2.0,120,150
808000000.0,"Bantul, Bantul",3.0,2.0,2.0,85,45
690000000.0,"Banguntapan, Bantul",3.0,2.0,2.0,78,60
675000000.0,"Banguntapan, Bantul",2.0,1.0,1.0,85,45
1250000000.0,"Depok, Sleman",10.0,4.0,1.0,128,200
870000000.0,"Godean, Sleman",3.0,2.0,1.0,135,80
2600000000.0,"Maguwoharjo, Yogyakarta",4.0,3.0,2.0,150,190
300000000.0,"Pajangan, Bantul",2.0,1.0,0.0,74,42
2300000000.0,"Kaliurang, Sleman",8.0,9.0,2.0,98,120
1600000000.0,"Danurejan, Yogyakarta",4.0,2.0,0.0,125,125
2500000000.0,"Kasihan, Bantul",3.0,3.0,0.0,352,168
1600000000.0,"Bantul, Bantul",4.0,3.0,0.0,193,193
6500000000.0,"Bantul, Bantul",5.0,5.0,0.0,455,650
1750000000.0,"Tegalrejo, Yogyakarta",4.0,4.0,0.0,187,335
3500000000.0,"Depok, Sleman",4.0,3.0,0.0,728,426
3500000000.0,"Depok, Sleman",4.0,3.0,0.0,728,426
299000000.0,"Gamping, Sleman",2.0,1.0,1.0,74,74
3000000000.0,"Bantul, Bantul",4.0,2.0,0.0,262,252
385000000.0,"Mlati, Sleman",3.0,2.0,1.0,63,80
900000000.0,"Godean, Sleman",3.0,2.0,1.0,133,80
1300000000.0,"Umbulharjo, Yogyakarta",3.0,3.0,1.0,135,85
280000000.0,"Ngaglik, Sleman",2.0,1.0,1.0,88,36
1600000000.0,"Prambanan, Sleman",0.0,0.0,0.0,530,300
250000000.0,"Ngaglik, Sleman",2.0,1.0,1.0,88,36
42000000000.0,"Umbulharjo, Yogyakarta",5.0,4.0,0.0,1769,702
1750000000.0,"Mlati, Sleman",3.0,2.0,1.0,131,160
4600000000.0,"Caturtunggal, Sleman",5.0,3.0,3.0,443,177
900000000.0,"Ngaglik, Sleman",2.0,2.0,1.0,108,60
595000000.0,"Banguntapan, Bantul",3.0,1.0,1.0,93,60
852000000.0,"Depok, Sleman",4.0,2.0,1.0,142,200
700000000.0,"Mlati, Sleman",3.0,2.0,1.0,106,70
2300000000.0,"Mlati, Sleman",8.0,8.0,2.0,98,120
1290000000.0,"Banguntapan, Bantul",4.0,3.0,2.0,99,105
375000000.0,"Kalasan, Sleman",2.0,1.0,1.0,72,72
1470000000.0,"Depok, Sleman",4.0,4.0,2.0,178,131
462000000.0,"Sleman, Yogyakarta",1.0,1.0,0.0,201,100
1560000000.0,"Sleman, Sleman",1.0,1.0,0.0,209,100
550000000.0,"Ngemplak, Sleman",3.0,2.0,0.0,82,100
